,userId,tokenAmount
116,0x000002c34bae6dd7bec72acba6aaac1e01a359de,100000
278,0x000872be5ec7dc8197ef6618ef507d9a449cac1a,100000
345,0x000cd92d64c8199b00f42cb0218eba60d09bec60,100000
479,0x0018ea4bab28d0737a77164d2331790c49ce0734,100000
527,0x001c2113cfc6037e0ea1015a7dc7289de072e7fe,100000
574,0x001fd2ab86b5cf5a3892f60048c5cc30dfab081c,100000
796,0x00350949717bb9ab5e6fdcf7207dd7b7a43f6a59,100000
949,0x00437ecdcf322be6ca61a07dc4ce404f7a88d407,100000
986,0x0046e6b678371f3576408873b3941b9ab10e3c72,100000
1316,0x0064f043786e8c597d6565fcbf4f0989bdd0f9a3,100000
1379,0x006970fd32059734e586a323b13fc1ce625f296b,100000
1463,0x007189853c32eb23d4c4790377af397723a09e01,100000
1466,0x0071c98b6f878f004c88488592229b056f4ea1c5,100000
1484,0x00730da585e0f2777ff941628ea8358ff5f74b86,100000
1796,0x008d7a063eb5f7c706b72fbe48ce532defe153d1,100000
2218,0x00b3643af8135ad02b3028781f39b2bd70f5fe42,100000
2292,0x00ba280c55643f707e23376c948be41b5468ef58,100000
2491,0x00cced40ed7b2a1ae695167b9bf810359d1693f9,100000
2582,0x00d4c071966169a82e999c99cb9468052ad506ee,100000
2725,0x00e0cb3c0a949010dc70e5bcf087b84026bd44ee,100000
3326,0x0117ce17bc661d9bc331a328dc57c05d99b087d3,100000
3576,0x012e868121db86b3dac062f58cdc797c8879ce7e,100000
4692,0x0192ae8cfbee713684f23f2418764b4ae28e07b9,100000
4790,0x019cb55785c05c5a3c2d09c5090c9bc98070cc0b,100000
4816,0x019ee51c92802065c935dcb8f793016ec31e1e55,100000
4916,0x01a6d9df50a64520521dd41ea7b72f8464f7508a,100000
5174,0x01c081525b9110ebe9a87c9afab3932f50b7a282,100000
5267,0x01c8aa09a881544e5c3facf8aef8cf7c5d198b3d,100000
5270,0x01c8f404143d64a859b6db71fdae200919f5344c,100000
5303,0x01cc7ba4f67e102e8f789c2859e091cfca7bde35,100000
5599,0x01e8a979e7c5a1bb5c7af02a5f11263d0af4c19e,100000
5749,0x01f761805c90bc8abfaf504075afdb87e1e5dc08,100000
5960,0x020b0d4c844e0dbca51c9ab779df0191978c0359,100000
6565,0x024287d44fa11db45dfb443ecf37a7794644d258,100000
7172,0x02785792d86cd0194c39c4a2dfd03bde2e38a1fd,100000
7245,0x027fb58c32cb13f2c0d8acc68a23dd88546de012,100000
7320,0x0287bbebb9b4cf300e0e36bde4a62e13353c9d26,100000
7483,0x0296cd430220b8cb54472c48e08f203316c49d62,100000
7502,0x029957d17e2bcb6ae62756ba28d734c11bd4d696,100000
7702,0x02ab1b7218187a8afd605e4cb2770cec95f498dd,100000
7840,0x02b85aedf9c10a18144973b0a98e2f014da54e0f,100000
7952,0x02c28fc947eba0df77ee41f7e2a38e25a1cda62f,100000
8018,0x02cae5185d618c24e902cd984556f595f7d414a1,100000
8073,0x02d10f41f3a88614c63f718272c60da7bf37a53e,100000
8262,0x02e2e82bf6f79d92e0d776e85a56739d223a4914,100000
